$PSONLLD,000040.16,RV R. Revelle,V,6.4633404,-20.01684634,0.000,0.61,0.61,0.00,0.01,,,,*0A
$PSONLLD,000041.15,RV R. Revelle,V,6.4632921,-20.01681067,0.000,0.61,0.61,0.00,0.01,,,,*06
$PSONLLD,000042.15,RV R. Revelle,V,6.4632442,-20.01677557,0.000,0.61,0.61,0.00,0.01,,,,*02
$PSONLLD,000043.15,RV R. Revelle,V,6.4631967,-20.01674095,0.000,0.61,0.61,0.00,0.01,,,,*02
$PSONLLD,000044.15,RV R. Revelle,V,6.4631495,-20.01670664,0.000,0.61,0.61,0.00,0.01,,,,*09
$PSONLLD,000045.15,RV R. Revelle,V,6.4631026,-20.01667246,0.000,0.61,0.61,0.00,0.01,,,,*06
$PSONLLD,000046.15,RV R. Revelle,V,6.4630560,-20.01663834,0.000,0.61,0.61,0.00,0.01,,,,*08
$PSONLLD,000047.15,RV R. Revelle,V,6.4630093,-20.01660434,0.000,0.61,0.61,0.00,0.01,,,,*0F
$PSONLLD,000048.15,RV R. Revelle,V,6.4629622,-20.01657065,0.000,0.61,0.61,0.00,0.01,,,,*00
$PSONLLD,000049.15,RV R. Revelle,V,6.4629144,-20.01653700,0.000,0.61,0.61,0.00,0.01,,,,*06
$PSONLLD,000050.15,RV R. Revelle,V,6.4628659,-20.01650284,0.000,0.61,0.61,0.00,0.01,,,,*0E
$PSONLLD,000051.15,RV R. Revelle,V,6.4628168,-20.01646803,0.000,0.61,0.61,0.00,0.01,,,,*08
$PSONLLD,000052.15,RV R. Revelle,V,6.4627674,-20.01643274,0.000,0.61,0.61,0.00,0.01,,,,*01
$PSONLLD,000053.15,RV R. Revelle,V,6.4627179,-20.01639736,0.000,0.61,0.61,0.00,0.01,,,,*04
$PSONLLD,000054.15,RV R. Revelle,V,6.4626685,-20.01636215,0.000,0.61,0.61,0.00,0.01,,,,*0D
$PSONLLD,000055.15,RV R. Revelle,V,6.4626193,-20.01632719,0.000,0.61,0.61,0.00,0.01,,,,*01
$PSONLLD,000055.27,SNTRY 5206,A,6.4617941,-20.01545495,1006.650,0.75,0.75,0.00,0.54,,,,*78
$PSONLLD,000055.27,MARSS 5212,A,6.4636009,-20.01726653,1008.258,0.74,0.74,0.00,0.54,,,,*6A
$PSONLLD,000056.15,RV R. Revelle,V,6.4625703,-20.01629235,0.000,0.61,0.61,0.00,0.01,,,,*0F
$PSONLLD,000057.15,RV R. Revelle,V,6.4625216,-20.01625759,0.000,0.61,0.61,0.00,0.01,,,,*0C
$PSONLLD,000058.16,RV R. Revelle,V,6.4624733,-20.01622297,0.000,0.61,0.61,0.00,0.01,,,,*03
$PSONLLD,000059.15,RV R. Revelle,V,6.4624256,-20.01618868,0.000,0.61,0.61,0.00,0.01,,,,*04
$PSONLLD,000100.15,RV R. Revelle,V,6.4623787,-20.01615459,0.000,0.61,0.61,0.00,0.01,,,,*04
$PSONLLD,000101.15,RV R. Revelle,V,6.4623324,-20.01612051,0.000,0.61,0.61,0.00,0.01,,,,*03
